"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"add"	"lifeStage"	"identificationRemarks"	"foto"
	60	"AT"		"cells/l"	"Eukaryota incertae sedis"	"indet."	2017	"GlacierFront2017"	"KpN2"	"PHT-010"		"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"	"Flagellates"				
	60	"AT"		"cells/l"	"Commation"	"sp."	2017	"GlacierFront2017"	"KpN2"	"PHT-010"	"species"	"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"KpN1"	"PHT-014"	"species"	"Occurrence"	16593.6259351621	4	0.00024105641621846805	"l"	"present"	"verified"	401	16635.11	10	1000	1	165.936259351621	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"KpN1"	"PHT-014"	"species"	"Occurrence"	12445.2194513716	3	0.00024105641621846805	"l"	"present"	"verified"	401	16635.11	10	1000	1	124.452194513716	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Prorocentrum cordatum"		2017	"GlacierFront2017"	"KpN1"	"PHT-014"		"Occurrence"	4148.40648379052	1	0.00024105641621846805	"l"	"present"	"verified"	401	16635.11	10	1000	1	41.4840648379052	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Gymnodinium"	"sp."	2017	"GlacierFront2017"	"KpN1"	"PHT-014"	"species"	"Occurrence"	4148.40648379052	1	0.00024105641621846805	"l"	"present"	"verified"	401	16635.11	10	1000	1	41.4840648379052	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
10	60	"AT"	10	"cells/l"	"Gymnodinium wulffii"		2017	"GlacierFront2017"	"KpN1"	"PHT-014"		"Occurrence"	4148.40648379052	1	0.00024105641621846805	"l"	"present"	"verified"	401	16635.11	10	1000	1	41.4840648379052	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"	"species"	"Occurrence"	602721.376811594	50	0.00008295707091807629	"l"	"present"	"verified"	138	16635.11	10	1000	1	6027.21376811594	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"	"species"	"Occurrence"	46919.541025641	11	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	469.19541025641	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Prorocentrum cordatum"		2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	8530.82564102564	2	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	85.3082564102564	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Gymnodinium"	"sp."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"	"species"	"Occurrence"	8530.82564102564	2	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	85.3082564102564	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	"indet."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"	"Flagellates"				
1	60	"AT"	1	"cells/l"	"Leucocryptos marina"		2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	12796.2384615385	3	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	127.962384615385	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Gyrodinium fusiforme"		2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Oxyrrhis"	"sp."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"	"species"	"Occurrence"	8530.82564102564	2	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	85.3082564102564	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Gymnodinium simplex"		2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	8530.82564102564	2	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	85.3082564102564	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	"indet."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	8530.82564102564	2	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	85.3082564102564	"Niskin bottle"	"phytoplankton"	"Flagellates"				
1	60	"AT"	1	"cells/l"	"Katodinium glaucum"		2017	"GlacierFront2017"	"CpN3"	"PHT-029"		"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Telonema"	"sp."	2017	"GlacierFront2017"	"CpN3"	"PHT-029"	"species"	"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"	"species"	"Occurrence"	16362.4032786885	12	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	818.120163934426	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"	"species"	"Occurrence"	202867.195121951	50	0.00024646665997399476	"l"	"present"	"verified"	82	16635.11	50	1000	1	10143.3597560976	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Teleaulax"	"sp."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"	"species"	"Occurrence"	1363.53360655738	1	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	68.1766803278689	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Telonema"	"sp."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"	"species"	"Occurrence"	1363.53360655738	1	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	68.1766803278689	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Dinophyceae"	"indet."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"		"Occurrence"	1363.53360655738	1	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	68.1766803278689	"Niskin bottle"	"phytoplankton"	"Dinophycean"		"cyst"		
1	60	"AT"	1	"cells/l"	"Gymnodinium simplex"		2017	"GlacierFront2017"	"CpN4"	"PHT-030"		"Occurrence"	1363.53360655738	1	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	68.1766803278689	"Niskin bottle"	"phytoplankton"					
1	60	"AT"	1	"cells/l"	"Gymnodinium"	"sp."	2017	"GlacierFront2017"	"CpN4"	"PHT-030"	"species"	"Occurrence"	1363.53360655738	1	0.0007333885979713991	"l"	"present"	"verified"	244	16635.11	50	1000	1	68.1766803278689	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
10	60	"AT"	10	"cells/l"	"Gymnodinium"	"sp."	2017	"GlacierFront2017"	"KpN4"	"PHT-004"	"species"	"Occurrence"	4117.60148514851	1	0.00024285983080364363	"l"	"present"	"verified"	404	16635.11	10	1000	1	41.1760148514852	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
10	60	"AT"	10	"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"KpN4"	"PHT-004"	"species"	"Occurrence"	20588.0074257426	5	0.00024285983080364363	"l"	"present"	"verified"	404	16635.11	10	1000	1	205.880074257426	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"KpN4"	"PHT-004"	"species"	"Occurrence"	49411.2178217822	12	0.00024285983080364363	"l"	"present"	"verified"	404	16635.11	10	1000	1	494.112178217822	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Teleaulax"	"sp."	2017	"GlacierFront2017"	"KpN4"	"PHT-004"	"species"	"Occurrence"	4117.60148514851	1	0.00024285983080364363	"l"	"present"	"verified"	404	16635.11	10	1000	1	41.1760148514852	"Niskin bottle"	"phytoplankton"					
