"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"occurrenceRemarks"	"previousIdentifications"	"lifeStage"	"magnification"
50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	"sp. 10-20um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-75"	"species"	"Occurrence"	4701.30133333333	4	0.0008508282529432984	"l"	"present"	"verified"	75	4407.47	50	1000	1	235.065066666667	"Niskin bottle"	"phytoplankton"	50		"Gymnodinium sp. 10-20um"		
0	"iopan.pl"	"cells/l"	"Scrippsiella trochoidea"			2012	"MOSJ2012"	"KB3"	"MOSJ12-80"		"Occurrence"	2632.22470238095	55	0.020894872671869655	"l"	"present"	"verified"	21	321.61	2	200	32	842.311904761905	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-80"	"species"	"Occurrence"	2955.97426470588	50	0.016914896924846864	"l"	"present"	"verified"	17	321.61	2	200	32	945.911764705882	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Protoperidinium steinii"			2012	"MOSJ2012"	"KB3"	"MOSJ12-80"		"Occurrence"	23.9293154761905	2	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	7.65738095238095	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Dinophysis"	"sp. cf. D. arctica"	"sp. cf d.arctica"	2012	"MOSJ2012"	"KB3"	"MOSJ12-80"	"species"	"Occurrence"	11.9646577380952	1	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	3.82869047619048	"Niskin bottle"	"microplankton"			"Dinophysis  sp. cf. D. arctica"		
0	"iopan.pl"	"cells/l"	"Tontonia"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-80"	"species"	"Occurrence"	59.8232886904762	5	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	19.1434523809524	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Gonyaulax"	"sp. cf. G. digitale"	"sp. cf g.digitale"	2012	"MOSJ2012"	"KB3"	"MOSJ12-80"	"species"	"Occurrence"	11.9646577380952	1	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	3.82869047619048	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"			2012	"MOSJ2012"	"KB3"	"MOSJ12-80"		"Occurrence"	23.9293154761905	2	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	7.65738095238095	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-80"		"Occurrence"	11.9646577380952	1	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	3.82869047619048	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"			2012	"MOSJ2012"	"KB3"	"MOSJ12-80"		"Occurrence"	23.9293154761905	2	0.08357949068747862	"l"	"present"	"verified"	84	321.61	2	200	32	7.65738095238095	"Niskin bottle"	"microplankton"					
